mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2
0.13227291107177735,0.011058353025201258,0.005316686630249023,0.0010767173976573491,0.8,0.01,3,1,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",-2621296640.0,-1740638208.0,-3003604736.0,-1807615104.0,-1671448704.0,-2168920678.4,540885837.2157658,93,-1865301120.0,-1903885184.0,-1798991488.0,-1959357312.0,-1996359424.0,-1904778905.6,69449356.81808862,0.6147007942199707,0.6703377366065979,0.5878137946128845,0.6623831391334534,0.6673298478126526,0.6405130624771118,0.03325789362428403,93,0.6758201718330383,0.689129650592804,0.6803193688392639,0.6795045137405396,0.6779465675354004,0.6805440545082092,0.004558631261419953
0.09855241775512695,0.022100631319979497,0.005203390121459961,0.0014736547694986235,0.8,0.01,3,1,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",-2594100224.0,-1758113280.0,-3070292736.0,-1853840768.0,-1697969024.0,-2194863206.4,544006927.846231,96,-1866174208.0,-1893478272.0,-1795871872.0,-1950545280.0,-1980502528.0,-1897314432.0,64851839.06193207,0.6186982989311218,0.6670281291007996,0.5786621570587158,0.6537493467330933,0.6620514988899231,0.6360378861427307,0.033296950657969435,96,0.6756684184074402,0.6908289194107056,0.6808737516403198,0.6809459328651428,0.6805046796798706,0.6817643404006958,0.004947252610136558
0.15776729583740234,0.014441286343933032,0.005608749389648437,0.0004897854730016652,0.8,0.01,3,1,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",-1633321856.0,-1284134784.0,-1850982016.0,-1006501824.0,-932182208.0,-1341424537.6,354340935.4200129,67,-927665856.0,-896629312.0,-891515264.0,-968709568.0,-981713728.0,-933246745.6,36661040.58600843,0.7599212527275085,0.7567956447601318,0.7459888458251953,0.8120108842849731,0.8144668340682983,0.7778366923332214,0.02928349933161934,67,0.8387764096260071,0.8535965085029602,0.8415778279304504,0.8415464758872986,0.8416296243667603,0.8434253692626953,0.005200639348583064
0.2140958786010742,0.021925048034338028,0.004505538940429687,0.001003508581393452,0.8,0.01,3,1,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 1.0}",-1618720128.0,-1260397440.0,-1928234112.0,-1025878464.0,-968971584.0,-1360440345.6,364495880.37412703,70,-933903232.0,-893710080.0,-880540928.0,-957261120.0,-967857792.0,-926654630.4,34347683.78426717,0.7620674967765808,0.7612913250923157,0.7353874444961548,0.808391809463501,0.8071445822715759,0.7748565316200257,0.028539502986822122,71,0.837692379951477,0.854073166847229,0.8435279726982117,0.8434191346168518,0.8438648581504822,0.8445155024528503,0.005301028669996667
0.1165395736694336,0.01528866654398032,0.0048048973083496095,0.00040174778259553334,0.8,0.01,3,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.8}",-2523308288.0,-1752691456.0,-2984854016.0,-1802758144.0,-1675276800.0,-2147777740.8,517708164.1336215,90,-1876495360.0,-1911345152.0,-1810493056.0,-1973894528.0,-2008768000.0,-1916199219.2,70244543.10271564,0.6291038990020752,0.6680549383163452,0.5903869867324829,0.66329026222229,0.6665679216384888,0.6434808015823364,0.030182665696282265,90,0.6738746762275696,0.6879115700721741,0.6782755851745605,0.6771266460418701,0.6759448051452637,0.6786266565322876,0.004865316961745783
0.13426361083984376,0.023583094263620128,0.0057070255279541016,0.0030037672552198275,0.8,0.01,3,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}",-2510608896.0,-1766324992.0,-3022896128.0,-1836943104.0,-1700768000.0,-2167508224.0,517199044.5340198,92,-1868776320.0,-1896345856.0,-1807527552.0,-1966801408.0,-1987459584.0,-1905382144.0,65583830.58998564,0.6309705376625061,0.6654728651046753,0.5851664543151855,0.6569054126739502,0.6614943742752075,0.6400019288063049,0.029949680678336553,94,0.6752161979675293,0.6903606653213501,0.678802490234375,0.6782869100570679,0.67938232421875,0.6804097175598145,0.00517955665197092
0.22348060607910156,0.015863255595788026,0.004605579376220703,0.0004936806212244891,0.8,0.01,3,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",-1500035328.0,-1301646080.0,-1870053760.0,-1004467008.0,-924358144.0,-1320112064.0,343919237.34082335,63,-943607616.0,-911877824.0,-912651008.0,-990702336.0,-1005857600.0,-952939276.8,39045268.52942953,0.7795127630233765,0.7534791827201843,0.7433716058731079,0.812390923500061,0.8160240650177002,0.780955708026886,0.029622858409676562,63,0.8360058069229126,0.8511067032814026,0.8378219604492188,0.8379490971565247,0.8377346992492676,0.8401236534118652,0.005537465693550686
0.2233560562133789,0.04409842423793845,0.011510848999023438,0.008128091980363565,0.8,0.01,3,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 1.0}",-1548612352.0,-1271878912.0,-1917335168.0,-1011387712.0,-932368448.0,-1336316518.4,362093128.925115,65,-940049344.0,-899200640.0,-900749632.0,-981983424.0,-984782656.0,-941353139.2,37320559.58873229,0.7723724842071533,0.7591168284416199,0.7368831038475037,0.8110983371734619,0.814429759979248,0.7787801027297974,0.029994755494138405,66,0.8366242051124573,0.8531766533851624,0.8399368524551392,0.8393752574920654,0.8411345481872559,0.842049503326416,0.0057567240082075566
0.2502720832824707,0.02530575682641898,0.010973644256591798,0.007342954924193181,0.8,0.01,5,1,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",-2596830464.0,-1536070528.0,-2764000768.0,-1589175168.0,-1526316544.0,-2002478694.4,556463237.0066388,85,-1449595392.0,-1517350912.0,-1436678272.0,-1529842688.0,-1579062784.0,-1502506009.6,52842084.1982807,0.6182969808578491,0.7090811729431152,0.6206947565078735,0.7031822204589844,0.6962156295776367,0.6694941520690918,0.041033125352416586,85,0.7480677366256714,0.7522437572479248,0.7447023987770081,0.7497609853744507,0.745265007019043,0.7480079770088196,0.0028095969670831624
0.2544290065765381,0.04944554712666819,0.006070470809936524,0.0016197329680502869,0.8,0.01,5,1,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",-2650897408.0,-1593806976.0,-2706769664.0,-1593767168.0,-1530796672.0,-2015207577.6,542624011.8455452,86,-1413738880.0,-1461050880.0,-1379816448.0,-1472003072.0,-1508773632.0,-1447076582.4,45295617.640902445,0.6103497743606567,0.6981463432312012,0.6285486221313477,0.7023245096206665,0.6953239440917969,0.6669386386871338,0.0392629575668069,86,0.7542994022369385,0.7614365816116333,0.7548067569732666,0.7592219114303589,0.7566041350364685,0.7572737574577332,0.002702061560891572
